id,name,track_href,external_url,artist_id,artist_name,album_id,track_number,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
55YsU62Y12E5hU0gXvn5mT,TATTOO,https://api.spotify.com/v1/tracks/55YsU62Y12E5hU0gXvn5mT,https://open.spotify.com/track/55YsU62Y12E5hU0gXvn5mT,4jCGRzuZkwo8CxboiANMEU,AleXa,5hexML5GeKyj4HCCV3zhG2,1,0.715,https://api.spotify.com/v1/audio-analysis/55YsU62Y12E5hU0gXvn5mT,0.717,210520,0.675,0,0.154,-5.041,1,0.175,83.025,4,0.581
5ej8hZotNTfDYBeK4VB1Kb,TATTOO - Instrumental,https://api.spotify.com/v1/tracks/5ej8hZotNTfDYBeK4VB1Kb,https://open.spotify.com/track/5ej8hZotNTfDYBeK4VB1Kb,4jCGRzuZkwo8CxboiANMEU,AleXa,5hexML5GeKyj4HCCV3zhG2,2,0.271,https://api.spotify.com/v1/audio-analysis/5ej8hZotNTfDYBeK4VB1Kb,0.752,210533,0.547,0.698,0.145,-9.664,1,0.0876,83.003,4,0.348
4btftV9aaDSaw0sPBr5VsZ,Xtra,https://api.spotify.com/v1/tracks/4btftV9aaDSaw0sPBr5VsZ,https://open.spotify.com/track/4btftV9aaDSaw0sPBr5VsZ,4jCGRzuZkwo8CxboiANMEU,AleXa,2M9w0Fjim2sLzuFj0EZ4l8,1,0.112,https://api.spotify.com/v1/audio-analysis/4btftV9aaDSaw0sPBr5VsZ,0.763,180078,0.759,0,0.548,-5.729,1,0.227,104.933,4,0.778
43Xber7en4Uvy4ZmFKNHtM,Obsession,https://api.spotify.com/v1/tracks/43Xber7en4Uvy4ZmFKNHtM,https://open.spotify.com/track/43Xber7en4Uvy4ZmFKNHtM,4jCGRzuZkwo8CxboiANMEU,AleXa,2M9w0Fjim2sLzuFj0EZ4l8,2,0.0829,https://api.spotify.com/v1/audio-analysis/43Xber7en4Uvy4ZmFKNHtM,0.77,207440,0.947,0,0.37,-3.357,1,0.178,104.009,4,0.607
5MSU20LXmaQCM5BecqGjvZ,Xtra - Instrumental,https://api.spotify.com/v1/tracks/5MSU20LXmaQCM5BecqGjvZ,https://open.spotify.com/track/5MSU20LXmaQCM5BecqGjvZ,4jCGRzuZkwo8CxboiANMEU,AleXa,2M9w0Fjim2sLzuFj0EZ4l8,3,0.00311,https://api.spotify.com/v1/audio-analysis/5MSU20LXmaQCM5BecqGjvZ,0.795,180078,0.664,0.349,0.0763,-8.423,1,0.16,104.994,4,0.678
3eAbgCZEVjCswZQBx72mcP,Is It On,https://api.spotify.com/v1/tracks/3eAbgCZEVjCswZQBx72mcP,https://open.spotify.com/track/3eAbgCZEVjCswZQBx72mcP,4jCGRzuZkwo8CxboiANMEU,AleXa,05OAVuzoOBqrhc0wnQjENW,1,0.0534,https://api.spotify.com/v1/audio-analysis/3eAbgCZEVjCswZQBx72mcP,0.755,224853,0.779,2.54e-05,0.1,-3.913,0,0.149,99.962,4,0.472
7ciiz3MWEeooYRxClbVW1i,어제도 오늘도 너무 보고싶어,https://api.spotify.com/v1/tracks/7ciiz3MWEeooYRxClbVW1i,https://open.spotify.com/track/7ciiz3MWEeooYRxClbVW1i,4jCGRzuZkwo8CxboiANMEU,AleXa,3VIs3zQrS4cmBdb7HcEscL,1,0.567,https://api.spotify.com/v1/audio-analysis/7ciiz3MWEeooYRxClbVW1i,0.351,179500,0.718,0,0.15,-2.34,1,0.042,80.376,4,0.387
3r1ztLDWRvirzAaSgCyMIA,어제도 오늘도 너무 보고싶어 - Instrumental,https://api.spotify.com/v1/tracks/3r1ztLDWRvirzAaSgCyMIA,https://open.spotify.com/track/3r1ztLDWRvirzAaSgCyMIA,4jCGRzuZkwo8CxboiANMEU,AleXa,3VIs3zQrS4cmBdb7HcEscL,2,0.0824,https://api.spotify.com/v1/audio-analysis/3r1ztLDWRvirzAaSgCyMIA,0.563,179500,0.695,0.649,0.104,-6.405,1,0.0256,81.991,4,0.276
0rama9ojHvaOiQQ5cA0glu,Never let you go,https://api.spotify.com/v1/tracks/0rama9ojHvaOiQQ5cA0glu,https://open.spotify.com/track/0rama9ojHvaOiQQ5cA0glu,4jCGRzuZkwo8CxboiANMEU,AleXa,3t6O9PyiyLjW58koeRrQEc,1,0.912,https://api.spotify.com/v1/audio-analysis/0rama9ojHvaOiQQ5cA0glu,0.476,244787,0.327,1.3e-05,0.107,-6.969,1,0.0304,122.103,4,0.135
6ugf8AinXOgjCWfrjZJvTa,VILLAIN,https://api.spotify.com/v1/tracks/6ugf8AinXOgjCWfrjZJvTa,https://open.spotify.com/track/6ugf8AinXOgjCWfrjZJvTa,4jCGRzuZkwo8CxboiANMEU,AleXa,4Jvy4ZUSnZOoDOfQ12CAg3,1,0.0918,https://api.spotify.com/v1/audio-analysis/6ugf8AinXOgjCWfrjZJvTa,0.665,185813,0.801,0,0.435,-2.647,1,0.12,139.745,4,0.549
